iter	MultiClass
0	1.183886932
1	1.067176582
2	0.9798653498
3	0.9065040861
4	0.8517030278
5	0.8114686677
6	0.7884597015
7	0.7651703448
8	0.7473447868
9	0.7304152956
10	0.7155298792
11	0.6911962312
12	0.6782554796
13	0.6650472361
14	0.6379514962
15	0.626805781
16	0.613838429
17	0.598595924
18	0.5773699018
19	0.5677914067
20	0.5492594222
21	0.5364438898
22	0.5226406039
23	0.508527296
24	0.4951580091
25	0.4821091204
26	0.4716170272
27	0.465341312
28	0.4540579745
29	0.4460620186
30	0.436502278
31	0.4294564237
32	0.4247013788
33	0.4168245605
34	0.4037995789
35	0.3939886608
36	0.3862660305
37	0.3818210677
38	0.3760048781
39	0.3693238114
40	0.3629821126
41	0.3559361112
42	0.3457928549
43	0.3380876236
44	0.3337638001
45	0.3261549018
46	0.3207137203
47	0.317038038
48	0.3133558133
49	0.3056904466
50	0.3032855704
51	0.2966303133
52	0.2891511136
53	0.2844151069
54	0.2810501198
55	0.2771803668
56	0.2731366545
57	0.2684209296
58	0.2656674278
59	0.2621147433
60	0.2589500998
61	0.2558279646
62	0.2515148302
63	0.2469854292
64	0.2431282329
65	0.2399172915
66	0.2382628425
67	0.2344518091
68	0.2306976802
69	0.2280194287
70	0.225282727
71	0.2225936706
72	0.2187622707
73	0.2161456049
74	0.2128744047
75	0.2113188044
76	0.2106826887
77	0.2077480575
78	0.2062087394
79	0.2048642967
80	0.2012916886
81	0.1983389781
82	0.1973823354
83	0.1952218493
84	0.1926581931
85	0.1906354632
86	0.1890342649
87	0.1856740516
88	0.1827979968
89	0.1811385613
90	0.1794062977
91	0.1776781937
92	0.1756655089
93	0.1739406222
94	0.1720617944
95	0.170022304
96	0.1688998812
97	0.1664506056
98	0.1655186194
99	0.1643605654
