iter	Passed	Remaining
0	164	16242
1	170	8338
2	176	5714
3	182	4383
4	188	3577
5	194	3049
6	200	2660
7	205	2363
8	211	2138
9	217	1953
10	223	1807
11	230	1690
12	236	1584
13	244	1502
14	251	1425
15	258	1359
16	266	1299
17	273	1243
18	280	1196
19	287	1149
20	294	1108
21	301	1068
22	309	1036
23	316	1002
24	323	970
25	330	940
26	336	909
27	342	880
28	349	854
29	355	829
30	361	804
31	368	782
32	373	759
33	379	737
34	386	717
35	392	698
36	399	680
37	406	663
38	412	645
39	420	630
40	427	615
41	436	602
42	443	587
43	449	572
44	456	557
45	462	543
46	469	529
47	475	515
48	481	501
49	489	489
50	495	475
51	501	462
52	508	450
53	514	437
54	520	425
55	527	414
56	532	401
57	540	391
58	546	379
59	553	368
60	559	357
61	566	346
62	572	336
63	579	326
64	586	315
65	593	305
66	599	295
67	605	284
68	612	275
69	618	265
70	625	255
71	632	245
72	638	236
73	645	226
74	652	217
75	658	207
76	664	198
77	671	189
78	678	180
79	684	171
80	692	162
81	700	153
82	706	144
83	713	135
84	720	127
85	726	118
86	733	109
87	739	100
88	745	92
89	752	83
90	758	75
91	765	66
92	772	58
93	778	49
94	785	41
95	791	32
96	797	24
97	804	16
98	809	8
99	815	0
