date,start_date,end_date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,Disaster Type
"DatetimeIndex(['1941-05-20 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1941-05-21,1941-05-21,51.0,29.55,26.8,28.24375,1.6000001,1.6000001,13.32,21.599998,260.71222,24.21,Storm
"DatetimeIndex(['1947-10-20 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1947-10-21,1947-10-21,1.0,28.35,24.6,26.481249,0.0,0.0,20.188908,29.16,1.1133666,20.72,Storm
"DatetimeIndex(['1958-10-19 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1958-10-20,1958-10-20,51.0,29.55,24.1,26.766668,0.8,0.8,9.83268,15.119999,104.60445,18.18,Storm
"DatetimeIndex(['1960-10-08 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1960-10-09,1960-10-09,63.0,27.65,25.7,26.587502,44.4,44.4,39.797504,55.079998,342.63153,6.32,Storm
"DatetimeIndex(['1960-10-29 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1960-10-30,1960-10-30,61.0,28.9,23.25,25.699999,2.0,2.0,15.745627,20.880001,16.234982,16.97,Storm
"DatetimeIndex(['1961-05-08 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1961-05-09,1961-05-09,63.0,27.3,25.4,26.370829,44.8,44.8,61.99217,100.799995,282.09473,9.13,Storm
"DatetimeIndex(['1961-05-29 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1961-05-30,1961-05-30,65.0,29.45,26.35,27.039583,55.4,55.4,32.86861,54.36,169.65616,3.5,Storm
"DatetimeIndex(['1963-05-27 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1963-05-28,1963-05-28,63.0,28.15,25.8,26.727081,37.6,37.6,67.4008,117.0,6.492796,5.68,Storm
"DatetimeIndex(['1964-04-11 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1964-04-12,1964-04-12,51.0,31.15,27.05,28.564583,0.70000005,0.70000005,31.433586,49.32,273.46512,23.46,Storm
"DatetimeIndex(['1965-05-10 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1965-05-11,1965-05-11,63.0,28.95,24.9,25.993752,37.499996,37.499996,38.047756,51.12,342.2702,10.66,Storm
"DatetimeIndex(['1965-12-14 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1965-12-15,1965-12-15,65.0,23.3,21.75,22.49375,71.100006,71.100006,40.896065,68.4,95.12086,7.12,Storm
"DatetimeIndex(['1966-09-30 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1966-10-01,1966-10-01,65.0,25.95,23.3,24.779167,77.0,77.0,72.16181,119.88,272.0682,3.56,Storm
"DatetimeIndex(['1967-05-01 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1967-05-02,1967-05-02,65.0,29.15,25.3,26.889585,46.0,46.0,29.598919,44.28,277.8006,12.73,Storm
"DatetimeIndex(['1968-04-10 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1968-04-11,1968-04-11,51.0,29.55,26.45,27.72708,1.0000001,1.0000001,26.400545,41.760002,261.9014,20.29,Storm
"DatetimeIndex(['1969-04-13 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1969-04-14,1969-04-14,63.0,31.45,26.7,28.710417,11.9,11.9,37.483242,56.16,264.24692,21.7,Storm
"DatetimeIndex(['1970-11-11 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1970-11-12,1970-11-12,63.0,23.55,21.8,22.727083,47.499996,47.499996,42.91405,63.72,346.93845,3.08,Storm
"DatetimeIndex(['1970-04-12 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1970-04-13,1970-04-13,2.0,32.6,24.55,28.354164,0.0,0.0,17.654688,28.08,166.5191,25.35,Storm
"DatetimeIndex(['1970-10-22 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1970-10-23,1970-10-23,63.0,26.2,25.05,25.589584,30.599998,30.599998,57.51556,88.2,296.75772,4.1,Storm
"DatetimeIndex(['1971-05-07 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1971-05-08,1971-05-08,63.0,27.5,24.55,25.858332,25.600002,25.600002,44.751633,70.2,254.45241,20.91,Storm
"DatetimeIndex(['1972-04-01 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1972-04-02,1972-04-02,61.0,30.0,25.4,27.393747,4.9,4.9,27.14123,43.199997,266.2056,21.09,Storm
"DatetimeIndex(['1972-06-24 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1972-06-25,1972-06-25,63.0,27.6,25.05,25.833334,20.399996,20.399996,25.14852,36.36,282.5677,8.83,Flood
"DatetimeIndex(['1973-12-08 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1973-12-09,1973-12-09,63.0,23.6,19.85,21.262499,34.499996,34.499996,53.284863,89.27999,315.17123,1.89,Storm
"DatetimeIndex(['1973-04-11 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1973-04-12,1973-04-12,53.0,30.85,26.65,28.339584,4.5999994,4.5999994,33.818928,55.44,264.9859,21.92,Storm
"DatetimeIndex(['1974-11-27 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1974-11-28,1974-11-28,65.0,23.35,21.75,22.722918,88.799995,88.799995,40.83898,87.479996,47.69192,3.67,Storm
"DatetimeIndex(['1976-04-09 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1976-04-10,1976-04-10,63.0,27.7,25.55,26.764587,18.100002,18.100002,30.421598,45.719997,260.21304,17.54,Storm
"DatetimeIndex(['1976-05-08 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1976-05-09,1976-05-09,63.0,28.35,24.15,25.766668,38.100002,38.100002,25.929996,39.96,265.82074,14.14,Storm
"DatetimeIndex(['1976-06-14 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1976-06-15,1976-06-15,63.0,29.75,25.35,27.058329,19.8,19.8,27.219902,40.32,283.7961,18.3,Flood
"DatetimeIndex(['1977-10-05 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1977-10-06,1977-10-06,51.0,28.95,25.5,26.90417,2.0,2.0,12.594856,23.039999,259.63968,17.58,Storm
"DatetimeIndex(['1977-04-23 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1977-04-24,1977-04-24,51.0,30.6,25.35,27.86875,0.2,0.2,17.148247,26.28,244.96434,23.86,Storm
"DatetimeIndex(['1977-03-31 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1977-04-01,1977-04-01,51.0,30.6,26.25,28.145834,0.6,0.6,34.763775,53.28,267.6727,20.4,Storm
"DatetimeIndex(['1977-10-12 18:00:00+00:00'], dtype='datetime64[ns, UTC]', freq='D')",1977-10-13,1977-10-13,61.0,28.5,24.15,25.960419,6.1,6.1,7.491114,16.919998,143.42694,16.91,Flood
